epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,17718.7,0.39819,1.11011,1.21097,0.9227,0.8849,0.94801,0.7458,0.80673,0.94607,1.6549,4.36e-05,4.36e-05,4.36e-05
92,17910.6,0.35627,0.95679,1.19331,0.93328,0.87665,0.94882,0.75027,0.7909,0.93969,1.65319,3.964e-05,3.964e-05,3.964e-05
93,18103.5,0.34389,0.78662,1.17199,0.94006,0.87684,0.96579,0.75337,0.81348,0.97357,1.63241,3.568e-05,3.568e-05,3.568e-05
94,18297.7,0.32875,0.78282,1.16474,0.93635,0.87404,0.9666,0.75514,0.80628,0.94945,1.59696,3.172e-05,3.172e-05,3.172e-05
95,18488.7,0.28685,0.76714,1.10835,0.92811,0.88552,0.95724,0.75221,0.80832,0.94715,1.59248,2.776e-05,2.776e-05,2.776e-05
96,18681.5,0.29817,0.73313,1.15241,0.93492,0.87977,0.94533,0.7455,0.80008,0.94709,1.59103,2.38e-05,2.38e-05,2.38e-05
97,18872.1,0.2902,0.69966,1.13596,0.93472,0.88225,0.95836,0.75542,0.80684,0.94564,1.61318,1.984e-05,1.984e-05,1.984e-05
98,19064.6,0.27964,0.72027,1.10022,0.91349,0.8968,0.95744,0.76627,0.79174,0.91737,1.59286,1.588e-05,1.588e-05,1.588e-05
99,19260.4,0.27974,0.68649,1.1278,0.9153,0.89864,0.95832,0.76585,0.77579,0.90204,1.56615,1.192e-05,1.192e-05,1.192e-05
100,19455.4,0.26658,0.66764,1.09879,0.92203,0.88092,0.95569,0.76382,0.77776,0.90892,1.57393,7.96e-06,7.96e-06,7.96e-06
